# img: ./test_imgs/0801.png
# feature params: 12448080
# lr: 0.1, max_iter: 1000
# target psnr: 42, target ssim: 0.99
# img: ./test_imgs/0801.png
# feature params: 12448080
# lr: 0.1, max_iter: 1000
# target psnr: 42, target ssim: 0.99
iter: 0, loss:0.6257694959640503, psnr: 8.056455612182617, ssim: 0.020465172827243805
iter: 10, loss:0.2247650921344757, psnr: 12.503311157226562, ssim: 0.1602994203567505
iter: 20, loss:0.1358625590801239, psnr: 14.68960189819336, ssim: 0.2364758551120758
iter: 30, loss:0.08972521871328354, psnr: 16.491455078125, ssim: 0.31054437160491943
iter: 40, loss:0.06371467560529709, psnr: 17.978206634521484, ssim: 0.3840343952178955
iter: 50, loss:0.048686034977436066, psnr: 19.146556854248047, ssim: 0.45521458983421326
iter: 60, loss:0.039744846522808075, psnr: 20.02779197692871, ssim: 0.5171876549720764
iter: 70, loss:0.034246888011693954, psnr: 20.67439079284668, ssim: 0.5664168000221252
iter: 80, loss:0.03064180538058281, psnr: 21.15745735168457, ssim: 0.6035818457603455
iter: 90, loss:0.028169281780719757, psnr: 21.522844314575195, ssim: 0.6307921409606934
iter: 100, loss:0.026326894760131836, psnr: 21.816604614257812, ssim: 0.6511380672454834
iter: 110, loss:0.024888789281249046, psnr: 22.060564041137695, ssim: 0.6669570207595825
iter: 120, loss:0.023723667487502098, psnr: 22.268781661987305, ssim: 0.6798223257064819
iter: 130, loss:0.022768693044781685, psnr: 22.447219848632812, ssim: 0.6904997825622559
iter: 140, loss:0.021946340799331665, psnr: 22.606979370117188, ssim: 0.699629008769989
iter: 150, loss:0.021236268803477287, psnr: 22.74981689453125, ssim: 0.7075304388999939
iter: 160, loss:0.02061200514435768, psnr: 22.879398345947266, ssim: 0.7145459651947021
iter: 170, loss:0.02005421556532383, psnr: 22.998544692993164, ssim: 0.7208044528961182
iter: 180, loss:0.01955348253250122, psnr: 23.10835838317871, ssim: 0.7264180183410645
iter: 190, loss:0.019094249233603477, psnr: 23.21157455444336, ssim: 0.7315113544464111
iter: 200, loss:0.01868019811809063, psnr: 23.306787490844727, ssim: 0.7362276911735535
iter: 210, loss:0.018294353038072586, psnr: 23.397430419921875, ssim: 0.740594744682312
iter: 220, loss:0.017940372228622437, psnr: 23.48228645324707, ssim: 0.744624137878418
iter: 230, loss:0.01762084662914276, psnr: 23.560331344604492, ssim: 0.7483338117599487
iter: 240, loss:0.017315758392214775, psnr: 23.636186599731445, ssim: 0.7517988681793213
iter: 250, loss:0.017033640295267105, psnr: 23.7075252532959, ssim: 0.755042314529419
iter: 260, loss:0.01677507720887661, psnr: 23.773956298828125, ssim: 0.7580894827842712
iter: 270, loss:0.01653268188238144, psnr: 23.83716583251953, ssim: 0.7609237432479858
iter: 280, loss:0.016305048018693924, psnr: 23.897380828857422, ssim: 0.7635760307312012
iter: 290, loss:0.016087979078292847, psnr: 23.955585479736328, ssim: 0.7660804986953735
iter: 300, loss:0.015884188935160637, psnr: 24.01095199584961, ssim: 0.7684780955314636
iter: 310, loss:0.015691161155700684, psnr: 24.064048767089844, ssim: 0.7706822752952576
iter: 320, loss:0.015506441704928875, psnr: 24.115478515625, ssim: 0.7728040218353271
iter: 330, loss:0.015324548818171024, psnr: 24.166725158691406, ssim: 0.7748144865036011
iter: 340, loss:0.01515126135200262, psnr: 24.216114044189453, ssim: 0.7767986059188843
iter: 350, loss:0.01498839259147644, psnr: 24.26304817199707, ssim: 0.7786518335342407
iter: 360, loss:0.01483797188848257, psnr: 24.306854248046875, ssim: 0.7803940773010254
iter: 370, loss:0.014695808291435242, psnr: 24.348663330078125, ssim: 0.7820910215377808
iter: 380, loss:0.01456399541348219, psnr: 24.387794494628906, ssim: 0.7836644649505615
iter: 390, loss:0.014441881328821182, psnr: 24.424362182617188, ssim: 0.7851357460021973
iter: 400, loss:0.014326803386211395, psnr: 24.4591064453125, ssim: 0.7864699363708496
iter: 410, loss:0.014217029325664043, psnr: 24.492511749267578, ssim: 0.787744402885437
iter: 420, loss:0.01410697028040886, psnr: 24.526264190673828, ssim: 0.7889741659164429
iter: 430, loss:0.014005077071487904, psnr: 24.5577449798584, ssim: 0.7901768684387207
iter: 440, loss:0.013904747553169727, psnr: 24.588970184326172, ssim: 0.7913467884063721
iter: 450, loss:0.013807137496769428, psnr: 24.61956214904785, ssim: 0.7924622893333435
iter: 460, loss:0.013711892999708652, psnr: 24.649627685546875, ssim: 0.7935250997543335
iter: 470, loss:0.01361869741231203, psnr: 24.679244995117188, ssim: 0.7945467233657837
iter: 480, loss:0.013534165918827057, psnr: 24.70628547668457, ssim: 0.7955555319786072
iter: 490, loss:0.013450060971081257, psnr: 24.733356475830078, ssim: 0.7965304255485535
iter: 500, loss:0.01336771622300148, psnr: 24.760028839111328, ssim: 0.7974399328231812
iter: 510, loss:0.013292783871293068, psnr: 24.784440994262695, ssim: 0.7983330488204956
iter: 520, loss:0.013220379129052162, psnr: 24.80816078186035, ssim: 0.7991506457328796
iter: 530, loss:0.013153397478163242, psnr: 24.830223083496094, ssim: 0.7999521493911743
iter: 540, loss:0.013081450946629047, psnr: 24.854042053222656, ssim: 0.8007080554962158
iter: 550, loss:0.013020425103604794, psnr: 24.874347686767578, ssim: 0.8014389276504517
iter: 560, loss:0.012960471212863922, psnr: 24.894392013549805, ssim: 0.8021210432052612
iter: 570, loss:0.012901720590889454, psnr: 24.91412353515625, ssim: 0.8027870655059814
iter: 580, loss:0.012843302451074123, psnr: 24.933834075927734, ssim: 0.8034316301345825
iter: 590, loss:0.012784495949745178, psnr: 24.953763961791992, ssim: 0.8040546178817749
iter: 600, loss:0.012730477377772331, psnr: 24.972152709960938, ssim: 0.8046797513961792
iter: 610, loss:0.012678517960011959, psnr: 24.989913940429688, ssim: 0.8052670359611511
iter: 620, loss:0.012626463547348976, psnr: 25.007783889770508, ssim: 0.8058104515075684
iter: 630, loss:0.012573353946208954, psnr: 25.02608871459961, ssim: 0.8063666224479675
iter: 640, loss:0.012526584789156914, psnr: 25.04227066040039, ssim: 0.8069212436676025
iter: 650, loss:0.012481371872127056, psnr: 25.057979583740234, ssim: 0.8074191808700562
iter: 660, loss:0.012436938472092152, psnr: 25.073467254638672, ssim: 0.8079032301902771
iter: 670, loss:0.012390724383294582, psnr: 25.08963394165039, ssim: 0.8083791136741638
iter: 680, loss:0.012345866300165653, psnr: 25.105384826660156, ssim: 0.8088552355766296
iter: 690, loss:0.01230213325470686, psnr: 25.12079620361328, ssim: 0.809321403503418
iter: 700, loss:0.012262284755706787, psnr: 25.134885787963867, ssim: 0.8097843527793884
iter: 710, loss:0.012223171070218086, psnr: 25.148761749267578, ssim: 0.8101956844329834
iter: 720, loss:0.01218415517359972, psnr: 25.162647247314453, ssim: 0.8106167316436768
iter: 730, loss:0.012142949737608433, psnr: 25.177356719970703, ssim: 0.8110476732254028
iter: 740, loss:0.012103593908250332, psnr: 25.191457748413086, ssim: 0.8114725947380066
iter: 750, loss:0.012065275572240353, psnr: 25.205228805541992, ssim: 0.8118703365325928
iter: 760, loss:0.012030488811433315, psnr: 25.21776580810547, ssim: 0.8122695684432983
iter: 770, loss:0.011997255496680737, psnr: 25.229782104492188, ssim: 0.8126509189605713
iter: 780, loss:0.011964027769863605, psnr: 25.241825103759766, ssim: 0.8130199313163757
iter: 790, loss:0.01193145290017128, psnr: 25.2536678314209, ssim: 0.8133771419525146
iter: 800, loss:0.01190043892711401, psnr: 25.264970779418945, ssim: 0.8137168884277344
iter: 810, loss:0.011872248724102974, psnr: 25.275270462036133, ssim: 0.8140509128570557
iter: 820, loss:0.011842659674584866, psnr: 25.28610610961914, ssim: 0.8143633604049683
iter: 830, loss:0.011813403107225895, psnr: 25.296850204467773, ssim: 0.8146880865097046
iter: 840, loss:0.011785490438342094, psnr: 25.3071231842041, ssim: 0.8149932622909546
iter: 850, loss:0.011759227141737938, psnr: 25.31681251525879, ssim: 0.8152886629104614
iter: 860, loss:0.011731375008821487, psnr: 25.327112197875977, ssim: 0.8155909776687622
iter: 870, loss:0.01170494593679905, psnr: 25.33690643310547, ssim: 0.8158738017082214
iter: 880, loss:0.011679700575768948, psnr: 25.346282958984375, ssim: 0.816152036190033
