# img: ./test_imgs/0801.png
# feature params: 12448080
# lr: 0.1, max_iter: 1000
# target psnr: 42, target ssim: 0.99
iter: 0, loss:0.6262413263320923, psnr: 8.053182601928711, ssim: 0.020312756299972534
iter: 10, loss:0.22483034431934357, psnr: 12.50205135345459, ssim: 0.16041162610054016
iter: 20, loss:0.13600872457027435, psnr: 14.68493366241455, ssim: 0.23666390776634216
iter: 30, loss:0.08995562046766281, psnr: 16.480316162109375, ssim: 0.3104725778102875
iter: 40, loss:0.06393076479434967, psnr: 17.963502883911133, ssim: 0.3842054009437561
iter: 50, loss:0.048845041543245316, psnr: 19.132396697998047, ssim: 0.4553249478340149
iter: 60, loss:0.03988802805542946, psnr: 20.012176513671875, ssim: 0.5172404050827026
iter: 70, loss:0.03433503955602646, psnr: 20.663223266601562, ssim: 0.5665574073791504
iter: 80, loss:0.03069792501628399, psnr: 21.14950942993164, ssim: 0.6036823987960815
iter: 90, loss:0.028193719685077667, psnr: 21.51907730102539, ssim: 0.6310927271842957
iter: 100, loss:0.026335520669817924, psnr: 21.815181732177734, ssim: 0.6516574621200562
iter: 110, loss:0.02489989437162876, psnr: 22.058624267578125, ssim: 0.6675655841827393
iter: 120, loss:0.023751510307192802, psnr: 22.263687133789062, ssim: 0.6803674101829529
iter: 130, loss:0.022792497649788857, psnr: 22.44268226623535, ssim: 0.6909878253936768
iter: 140, loss:0.02197321318089962, psnr: 22.60166358947754, ssim: 0.6999450922012329
iter: 150, loss:0.021254349499940872, psnr: 22.746122360229492, ssim: 0.7077463865280151
iter: 160, loss:0.020620763301849365, psnr: 22.877552032470703, ssim: 0.7147399187088013
iter: 170, loss:0.02006075344979763, psnr: 22.997129440307617, ssim: 0.7209793329238892
iter: 180, loss:0.019565217196941376, psnr: 23.105754852294922, ssim: 0.7265580892562866
iter: 190, loss:0.01910625770688057, psnr: 23.208845138549805, ssim: 0.7316168546676636
iter: 200, loss:0.018684515729546547, psnr: 23.3057804107666, ssim: 0.7363713979721069
iter: 210, loss:0.018310220912098885, psnr: 23.393665313720703, ssim: 0.7407390475273132
iter: 220, loss:0.01796063594520092, psnr: 23.47738265991211, ssim: 0.7447249293327332
iter: 230, loss:0.01763770915567875, psnr: 23.556177139282227, ssim: 0.748409628868103
iter: 240, loss:0.017337825149297714, psnr: 23.63065528869629, ssim: 0.7518350481987
iter: 250, loss:0.017049264162778854, psnr: 23.70354461669922, ssim: 0.7550548315048218
iter: 260, loss:0.0167855154722929, psnr: 23.771251678466797, ssim: 0.758098304271698
iter: 270, loss:0.016530271619558334, psnr: 23.837799072265625, ssim: 0.7609366178512573
iter: 280, loss:0.016301950439810753, psnr: 23.898202896118164, ssim: 0.7635711431503296
iter: 290, loss:0.016086367890238762, psnr: 23.95602035522461, ssim: 0.7660371661186218
iter: 300, loss:0.01588370092213154, psnr: 24.01108169555664, ssim: 0.7683886289596558
iter: 310, loss:0.01568770408630371, psnr: 24.06500816345215, ssim: 0.7705725431442261
iter: 320, loss:0.015511574223637581, psnr: 24.11404037475586, ssim: 0.7726753950119019
iter: 330, loss:0.015341353602707386, psnr: 24.161964416503906, ssim: 0.7746474146842957
iter: 340, loss:0.01517630834132433, psnr: 24.208938598632812, ssim: 0.7765487432479858
iter: 350, loss:0.0150242168456316, psnr: 24.252681732177734, ssim: 0.778303861618042
iter: 360, loss:0.014880631119012833, psnr: 24.294387817382812, ssim: 0.7799558639526367
iter: 370, loss:0.014741715043783188, psnr: 24.335119247436523, ssim: 0.7815636396408081
iter: 380, loss:0.014611821621656418, psnr: 24.373558044433594, ssim: 0.7830696105957031
iter: 390, loss:0.01448725163936615, psnr: 24.41073989868164, ssim: 0.7845314741134644
iter: 400, loss:0.014369598589837551, psnr: 24.44615364074707, ssim: 0.7859071493148804
iter: 410, loss:0.01425490714609623, psnr: 24.48095703125, ssim: 0.7872120141983032
iter: 420, loss:0.014145055785775185, psnr: 24.51455307006836, ssim: 0.7884647250175476
iter: 430, loss:0.014040861278772354, psnr: 24.546661376953125, ssim: 0.7896826267242432
iter: 440, loss:0.013937140814960003, psnr: 24.57886505126953, ssim: 0.7908315658569336
iter: 450, loss:0.013837209902703762, psnr: 24.610116958618164, ssim: 0.7919548749923706
iter: 460, loss:0.0137425372377038, psnr: 24.63993263244629, ssim: 0.7930240035057068
iter: 470, loss:0.013651000335812569, psnr: 24.668956756591797, ssim: 0.794054388999939
iter: 480, loss:0.013564430177211761, psnr: 24.69658660888672, ssim: 0.7950210571289062
iter: 490, loss:0.013482126407325268, psnr: 24.72301483154297, ssim: 0.7959506511688232
iter: 500, loss:0.013399573042988777, psnr: 24.749691009521484, ssim: 0.7968872785568237
iter: 510, loss:0.013321933336555958, psnr: 24.77492904663086, ssim: 0.7977572679519653
iter: 520, loss:0.013248361647129059, psnr: 24.798980712890625, ssim: 0.7985808253288269
iter: 530, loss:0.013178347609937191, psnr: 24.821990966796875, ssim: 0.7993817329406738
iter: 540, loss:0.01311119832098484, psnr: 24.84417724609375, ssim: 0.8001610636711121
iter: 550, loss:0.013045759871602058, psnr: 24.86590576171875, ssim: 0.8008944988250732
iter: 560, loss:0.012985335662961006, psnr: 24.886070251464844, ssim: 0.8015955686569214
iter: 570, loss:0.012927120551466942, psnr: 24.905582427978516, ssim: 0.8022834062576294
iter: 580, loss:0.01286843977868557, psnr: 24.925342559814453, ssim: 0.8029311895370483
iter: 590, loss:0.012811753898859024, psnr: 24.944515228271484, ssim: 0.8035825490951538
iter: 600, loss:0.01275882963091135, psnr: 24.962491989135742, ssim: 0.804219663143158
iter: 610, loss:0.012707782909274101, psnr: 24.979900360107422, ssim: 0.8048076629638672
iter: 620, loss:0.012657901272177696, psnr: 24.99698257446289, ssim: 0.8053768873214722
iter: 630, loss:0.012609105557203293, psnr: 25.013755798339844, ssim: 0.8059285879135132
iter: 640, loss:0.012561146169900894, psnr: 25.03030776977539, ssim: 0.806445300579071
iter: 650, loss:0.012511524371802807, psnr: 25.047496795654297, ssim: 0.8069717288017273
iter: 660, loss:0.012467360123991966, psnr: 25.062854766845703, ssim: 0.8074767589569092
iter: 670, loss:0.012424783781170845, psnr: 25.077713012695312, ssim: 0.8079652190208435
iter: 680, loss:0.012381240725517273, psnr: 25.092960357666016, ssim: 0.8084429502487183
iter: 690, loss:0.012336337007582188, psnr: 25.108739852905273, ssim: 0.8088983297348022
iter: 700, loss:0.012298228219151497, psnr: 25.122175216674805, ssim: 0.8093113899230957
iter: 710, loss:0.01226027775555849, psnr: 25.135595321655273, ssim: 0.8097295165061951
iter: 720, loss:0.012218670919537544, psnr: 25.150360107421875, ssim: 0.8101500272750854
iter: 730, loss:0.012181571684777737, psnr: 25.16356658935547, ssim: 0.8105613589286804
iter: 740, loss:0.01214643381536007, psnr: 25.17611312866211, ssim: 0.8109726905822754
iter: 750, loss:0.012109171599149704, psnr: 25.189456939697266, ssim: 0.8113591074943542
iter: 760, loss:0.012074924074113369, psnr: 25.201757431030273, ssim: 0.8117249011993408
iter: 770, loss:0.01203934196382761, psnr: 25.214574813842773, ssim: 0.8120772242546082
iter: 780, loss:0.012007400393486023, psnr: 25.226112365722656, ssim: 0.8124295473098755
iter: 790, loss:0.011977499350905418, psnr: 25.236940383911133, ssim: 0.8127763271331787
iter: 800, loss:0.01194648165255785, psnr: 25.248201370239258, ssim: 0.813106894493103
iter: 810, loss:0.01191602274775505, psnr: 25.259286880493164, ssim: 0.8134417533874512
iter: 820, loss:0.011887498199939728, psnr: 25.269697189331055, ssim: 0.8137667179107666
iter: 830, loss:0.011859634891152382, psnr: 25.27988624572754, ssim: 0.814082145690918
iter: 840, loss:0.01182932686060667, psnr: 25.291000366210938, ssim: 0.8143953680992126
iter: 850, loss:0.011802133172750473, psnr: 25.300996780395508, ssim: 0.8146926760673523
iter: 860, loss:0.011774593032896519, psnr: 25.311141967773438, ssim: 0.8149800300598145
iter: 870, loss:0.011747771874070168, psnr: 25.321044921875, ssim: 0.8152729868888855
iter: 880, loss:0.011722938157618046, psnr: 25.330236434936523, ssim: 0.815543532371521
iter: 890, loss:0.01169882994145155, psnr: 25.339176177978516, ssim: 0.8158237338066101
iter: 900, loss:0.011676082387566566, psnr: 25.347631454467773, ssim: 0.8160982131958008
iter: 910, loss:0.011654321104288101, psnr: 25.355730056762695, ssim: 0.8163793087005615
iter: 920, loss:0.011632638052105904, psnr: 25.36381721496582, ssim: 0.8166400194168091
iter: 930, loss:0.011612681671977043, psnr: 25.371274948120117, ssim: 0.816884458065033
iter: 940, loss:0.011591454967856407, psnr: 25.379220962524414, ssim: 0.8171008825302124
iter: 950, loss:0.011571328155696392, psnr: 25.386770248413086, ssim: 0.8173298239707947
iter: 960, loss:0.011551645584404469, psnr: 25.394163131713867, ssim: 0.8175551295280457
iter: 970, loss:0.011532030068337917, psnr: 25.40154266357422, ssim: 0.8177601099014282
iter: 980, loss:0.011510957032442093, psnr: 25.409486770629883, ssim: 0.8179706335067749
iter: 990, loss:0.011489739641547203, psnr: 25.417499542236328, ssim: 0.8181867003440857
iter: 1000, loss:0.011471525765955448, psnr: 25.424388885498047, ssim: 0.8183910250663757
# total iter: 1000, final psnr: 25.424388885498047, final ssim: 0.8183910250663757
